month,season,disease_category,disease,cases_reported,avg_severity,avg_age
2024-02,Late Winter,Respiratory,Asthma,102,4.7,35.9
2024-02,Late Winter,Respiratory,Bronchitis,159,6.0,51.3
2024-02,Late Winter,Respiratory,Common Cold,208,5.2,38.5
2024-02,Late Winter,Respiratory,Sinusitis,74,5.4,39.0
2024-02,Late Winter,Respiratory,Allergic Rhinitis,244,6.7,41.3
2024-02,Late Winter,Digestive,IBS,390,7.6,34.6
2024-02,Late Winter,Digestive,Acidity,247,7.3,33.1
2024-02,Late Winter,Digestive,Constipation,149,7.2,41.4
2024-02,Late Winter,Digestive,Gastritis,479,7.0,42.0
2024-02,Late Winter,Digestive,Indigestion,366,6.7,52.4
2024-02,Late Winter,Metabolic,Diabetes,195,6.3,53.8
2024-02,Late Winter,Metabolic,Obesity,126,7.9,36.5
2024-02,Late Winter,Metabolic,Thyroid Disorder,116,7.7,38.6
2024-02,Late Winter,Metabolic,High Cholesterol,191,6.2,36.7
2024-02,Late Winter,Musculoskeletal,Arthritis,347,7.2,57.3
2024-02,Late Winter,Musculoskeletal,Back Pain,110,6.7,55.8
2024-02,Late Winter,Musculoskeletal,Joint Pain,471,6.8,41.8
2024-02,Late Winter,Musculoskeletal,Muscle Weakness,572,6.6,57.7
2024-02,Late Winter,Mental,Anxiety,293,4.1,40.2
2024-02,Late Winter,Mental,Depression,175,6.0,39.9
2024-02,Late Winter,Mental,Insomnia,138,6.3,38.1
2024-02,Late Winter,Mental,Stress,420,6.1,51.6
2024-02,Late Winter,Mental,Migraine,270,4.1,44.1
2024-02,Late Winter,Skin,Eczema,349,5.6,49.6
2024-02,Late Winter,Skin,Psoriasis,447,6.9,37.5
2024-02,Late Winter,Skin,Acne,331,4.9,54.8
2024-02,Late Winter,Skin,Dermatitis,330,7.8,49.5
2024-02,Late Winter,Lifestyle,Hypertension,103,5.5,53.8
2024-02,Late Winter,Lifestyle,Fatigue,155,5.6,48.5
2024-02,Late Winter,Lifestyle,Poor Immunity,110,5.8,54.4
2024-03,Spring,Respiratory,Asthma,266,4.8,41.6
2024-03,Spring,Respiratory,Bronchitis,266,6.4,55.4
2024-03,Spring,Respiratory,Common Cold,159,4.4,52.4
2024-03,Spring,Respiratory,Sinusitis,189,4.7,34.4
2024-03,Spring,Respiratory,Allergic Rhinitis,158,5.6,58.4
2024-03,Spring,Digestive,IBS,339,4.9,52.3
2024-03,Spring,Digestive,Acidity,86,7.7,56.5
2024-03,Spring,Digestive,Constipation,420,4.6,54.0
2024-03,Spring,Digestive,Gastritis,94,5.8,57.0
2024-03,Spring,Digestive,Indigestion,443,5.1,54.0
2024-03,Spring,Metabolic,Diabetes,83,5.3,40.6
2024-03,Spring,Metabolic,Obesity,154,6.5,56.9
2024-03,Spring,Metabolic,Thyroid Disorder,333,6.8,41.7
2024-03,Spring,Metabolic,High Cholesterol,275,5.5,35.5
2024-03,Spring,Musculoskeletal,Arthritis,97,6.8,42.3
2024-03,Spring,Musculoskeletal,Back Pain,189,8.0,43.4
2024-03,Spring,Musculoskeletal,Joint Pain,347,7.6,43.3
2024-03,Spring,Musculoskeletal,Muscle Weakness,361,7.2,44.7
2024-03,Spring,Mental,Anxiety,330,6.4,54.7
2024-03,Spring,Mental,Depression,360,4.6,37.7
2024-03,Spring,Mental,Insomnia,428,4.9,54.6
2024-03,Spring,Mental,Stress,171,6.1,47.7
2024-03,Spring,Mental,Migraine,118,7.6,45.3
2024-03,Spring,Skin,Eczema,116,7.0,45.7
2024-03,Spring,Skin,Psoriasis,447,5.3,51.4
2024-03,Spring,Skin,Acne,437,6.5,38.5
2024-03,Spring,Skin,Dermatitis,296,7.7,33.4
2024-03,Spring,Lifestyle,Hypertension,529,7.4,50.4
2024-03,Spring,Lifestyle,Fatigue,348,7.4,33.7
2024-03,Spring,Lifestyle,Poor Immunity,173,4.6,30.7
2024-04,Spring,Respiratory,Asthma,506,5.5,34.2
2024-04,Spring,Respiratory,Bronchitis,364,5.9,48.6
2024-04,Spring,Respiratory,Common Cold,56,5.7,42.2
2024-04,Spring,Respiratory,Sinusitis,258,5.5,51.5
2024-04,Spring,Respiratory,Allergic Rhinitis,75,7.8,46.9
2024-04,Spring,Digestive,IBS,460,6.2,51.0
2024-04,Spring,Digestive,Acidity,172,5.7,55.4
2024-04,Spring,Digestive,Constipation,165,5.4,45.2
2024-04,Spring,Digestive,Gastritis,77,7.2,33.7
2024-04,Spring,Digestive,Indigestion,251,6.9,56.5
2024-04,Spring,Metabolic,Diabetes,409,5.6,35.5
2024-04,Spring,Metabolic,Obesity,68,5.3,39.7
2024-04,Spring,Metabolic,Thyroid Disorder,242,5.7,42.8
2024-04,Spring,Metabolic,High Cholesterol,325,4.4,59.3
2024-04,Spring,Musculoskeletal,Arthritis,451,4.1,58.9
2024-04,Spring,Musculoskeletal,Back Pain,274,6.9,33.5
2024-04,Spring,Musculoskeletal,Joint Pain,290,4.5,33.1
2024-04,Spring,Musculoskeletal,Muscle Weakness,355,4.6,45.0
2024-04,Spring,Mental,Anxiety,173,7.0,56.1
2024-04,Spring,Mental,Depression,176,6.5,58.7
2024-04,Spring,Mental,Insomnia,203,4.9,30.4
2024-04,Spring,Mental,Stress,138,7.9,37.0
2024-04,Spring,Mental,Migraine,397,7.6,55.6
2024-04,Spring,Skin,Eczema,97,5.6,57.0
2024-04,Spring,Skin,Psoriasis,228,5.4,49.4
2024-04,Spring,Skin,Acne,518,6.4,45.4
2024-04,Spring,Skin,Dermatitis,323,5.3,54.3
2024-04,Spring,Lifestyle,Hypertension,394,6.1,38.9
2024-04,Spring,Lifestyle,Fatigue,61,5.0,41.0
2024-04,Spring,Lifestyle,Poor Immunity,96,6.1,30.3
2024-05,Summer,Respiratory,Asthma,318,6.1,33.4
2024-05,Summer,Respiratory,Bronchitis,90,4.6,59.6
2024-05,Summer,Respiratory,Common Cold,208,7.5,54.1
2024-05,Summer,Respiratory,Sinusitis,208,6.0,36.4
2024-05,Summer,Respiratory,Allergic Rhinitis,235,6.5,49.3
2024-05,Summer,Digestive,IBS,332,5.6,39.1
2024-05,Summer,Digestive,Acidity,191,4.0,34.9
2024-05,Summer,Digestive,Constipation,99,5.1,36.3
2024-05,Summer,Digestive,Gastritis,550,5.1,31.0
2024-05,Summer,Digestive,Indigestion,387,7.9,33.5
2024-05,Summer,Metabolic,Diabetes,61,5.5,45.5
2024-05,Summer,Metabolic,Obesity,217,5.3,59.8
2024-05,Summer,Metabolic,Thyroid Disorder,147,4.4,54.8
2024-05,Summer,Metabolic,High Cholesterol,341,4.7,59.7
2024-05,Summer,Musculoskeletal,Arthritis,258,6.4,59.9
2024-05,Summer,Musculoskeletal,Back Pain,206,5.3,43.7
2024-05,Summer,Musculoskeletal,Joint Pain,299,6.1,39.5
2024-05,Summer,Musculoskeletal,Muscle Weakness,351,7.0,40.5
2024-05,Summer,Mental,Anxiety,124,7.9,32.8
