browse_id,user_id,product_id,category,brand,viewed_at,time_spent_seconds,added_to_cart,source
BRW00000001,U000001,896118,Co-ord Sets,TRIPR,2025-11-05 19:31:08,111,True,Category Browse
BRW00000002,U000001,896118,Co-ord Sets,TRIPR,2025-11-22 19:37:08,259,False,Search
BRW00000003,U000001,899607,Serveware,Afast,2025-11-14 07:40:08,84,True,Category Browse
BRW00000004,U000001,899608,Serveware,Afast,2025-11-12 21:33:08,217,True,Search
BRW00000005,U000001,496872,Oversized Tees,BULLMER,2025-11-23 09:49:08,172,False,Category Browse
BRW00000006,U000001,950140,Bar Necessities,Afast,2025-11-13 04:52:08,237,False,AI Suggestion
BRW00000007,U000001,949038,Bar Necessities,Afast,2025-11-03 02:43:08,95,True,Search
BRW00000008,U000001,428848,Casuals,Campus Sutra,2025-11-10 09:27:08,138,True,Recommendation
BRW00000009,U000001,496872,Oversized Tees,BULLMER,2025-11-21 14:03:08,42,False,AI Suggestion
BRW00000010,U000001,134466,Trousers,SUBTRACT,2025-12-03 04:36:08,52,True,Category Browse
BRW00000011,U000001,950140,Bar Necessities,Afast,2025-11-29 14:28:08,209,False,Recommendation
BRW00000012,U000001,717137,Innerwear,TRIPR,2025-11-10 07:41:08,74,True,AI Suggestion
BRW00000013,U000001,1053640,Dinnerware,Ethnic Darzi,2025-11-28 17:07:08,192,False,Trending
BRW00000014,U000001,948892,Bar Necessities,Afast,2025-11-05 23:10:08,149,False,Recommendation
BRW00000015,U000001,1038399,The Perfect Sets,AHIKA,2025-11-16 11:32:08,243,False,AI Suggestion
BRW00000016,U000001,950618,Bar Necessities,Afast,2025-11-12 23:50:08,187,False,AI Suggestion
BRW00000017,U000001,717137,Innerwear,TRIPR,2025-11-08 14:41:08,167,False,Trending
BRW00000018,U000001,787062,Tees,DILLINGER,2025-11-29 08:09:08,10,True,Category Browse
BRW00000019,U000001,792468,Security,Gizmore,2025-11-18 00:09:08,261,False,Category Browse
BRW00000020,U000001,41030,Snack Time,Ambrosia,2025-11-09 03:18:08,159,True,Search
