actual_product_id,structure,title,color,size,style_code,vendor_sku_code,ideal_for,size_chart,category_name,sp,mrp,coins_earn,coins_burn,brand_name,id,age_group,occasion,material,material_care,pattern,fit,length,neck,sleeve_length,style,waist,closure,size_and_fit,features,skin_type,hair_type,pack_size,preference,pack_quantity,package_contents,date_created,date_updated,product_id,container_type,country_of_origin,dosage,flavour,food_preference,food_type,heel_pattern,how_to_use,ingredients,instructions,is_organic,model,mounting_type,nutrition_content,other_details,outer_material,professional_care,protein_type,quality,shade,shape,shelf_life,shoes_fastening,shoes_type,sole_material,treatment_form,weave_type,weight,product_rank,dim_breadth,dim_height,dim_length,shipping_weight,shipping_weight_type,importer_address,manufacturer_address,color_relation_json,catalogue_rank,weightage_score,rank_type,compatible_devices,warranty,warranty_type,image_list
41030,standalone,Roasted & Lightly Salted California Pistachio - 250gm,,,KARA85522209,SaltedPista_250gm,,https://ik.imagekit.io/t2vt6tx4m/media/,Snack Time,347.00,525.00,17,35,Ambrosia,21154,,,,,,,,,,,,,,,,,,,,,2022-11-15 12:04:02.549 +0530,2025-09-17 21:30:02.051 +0530,41030,Pouch,India,,Nutty,Vegeterian,,,,Pistachios,,,,,,,,,,,,,6 Months,,,,,,250gm,10558,10.00,10.00,10.00,300.00,g,,"Karamhans Foods Pvt. Ltd. EPIP Sidco Complex Phase-3, Bari Brahmana Jammu-181133",[],99999,1.00,sale,,0 months,No Warranty,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2022/11/popclub_product_KARA85_166849404384.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2022/11/popclub_product_KARA85_166849404578.jpg"
134466,parent,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Grey,30,HONE92F114235,,Men,https://ik.imagekit.io/t2vt6tx4m/media/images/sizes/2023/sizechart_HONE92_168801878771..jpg,Trousers,2242.00,2990.00,,,SUBTRACT,50498,,Casual,Organic,Gentle Machine Wash,,Normal,,,,,,Button Fly,,,,,,,1,,2023-03-01 17:38:59.511 +0530,2025-11-12 23:28:04.325 +0530,134466,,India,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,350gm,169267,35.00,3.00,28.00,1.00,gms,,"Honest fashion Private Limited, Address- Plot no. 414, Phase 3, Udhyog Vihar, Gurugram 122060",[],99999,0.00,freshness,[],0 months,No Warranty,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254263.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254630.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254979.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255669.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255983.jpg"
134469,child,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Grey,34,HONE92F114235,SUBCT002-SLATEGREY-34,Men,https://ik.imagekit.io/t2vt6tx4m/media/,,2242.00,2990.00,112,561,SUBTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254263.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254630.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254979.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255669.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255983.jpg"
134470,child,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Grey,36,HONE92F114235,SUBCT002-SLATEGREY-36,Men,https://ik.imagekit.io/t2vt6tx4m/media/,,2242.00,2990.00,112,561,SUBTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254263.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254630.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254979.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255669.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255983.jpg"
134471,child,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Grey,38,HONE92F114235,SUBCT002-SLATEGREY-38,Men,https://ik.imagekit.io/t2vt6tx4m/media/,,2242.00,2990.00,112,561,SUBTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254263.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254630.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767254979.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255669.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767255983.jpg"
134472,parent,Organic Cotton Stretch Chino In Beige- Slim Fit,Beige,30,HONE92F114236,,Men,https://ik.imagekit.io/t2vt6tx4m/media/images/sizes/2023/sizechart_HONE92_168801870152..jpg,Trousers,,,,,SUBTRACT,50499,,Casual,Organic,Gentle Machine Wash,,Normal,,,,,,Button Fly,,,,,,,1,,2023-03-01 17:39:20.187 +0530,2025-11-12 23:28:06.506 +0530,134472,,India,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,350gm,169266,35.00,3.00,28.00,1.00,gms,,"Honest fashion Private Limited, Address- Plot no. 414, Phase 3, Udhyog Vihar, Gurugram 122060",[],99999,0.00,freshness,[],0 months,No Warranty,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767256425.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767256736.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257027.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257707.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767258051.jpg"
134475,child,Organic Cotton Stretch Chino In Beige- Slim Fit,Beige,34,HONE92F114236,SUBCT002-BEIGE-34,Men,https://ik.imagekit.io/t2vt6tx4m/media/,,2242.00,2990.00,112,561,SUBTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767256425.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767256736.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257027.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257707.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767258051.jpg"
134476,child,Organic Cotton Stretch Chino In Beige- Slim Fit,Beige,36,HONE92F114236,SUBCT002-BEIGE-36,Men,https://ik.imagekit.io/t2vt6tx4m/media/,,2242.00,2990.00,112,561,SUBTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767256425.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767256736.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257027.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257327.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767257707.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2023/03/popclub_product_HONE92_167767258051.jpg"
243944,parent,Men Originals White Block Collar Neck Printed T-shirts,Multicolor,XXS,THE93F1102122,,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,Polos,,,,,The Souled Store,115297,,Casual,Cotton,Gentle Machine Wash,Colorblock,Oversized Fit,,Collar Neck,Half Sleeve,,,Button,,,,,,,1N,,2024-05-02 14:25:52.253 +0530,2025-11-08 18:24:59.434 +0530,243944,,India,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,300,122769,2.00,25.00,30.00,10.00,GRAM,,"The Souled Store Pvt. Ltd. - 224, Tantia Jogani Industrial Premises, J.R. Boricha Marg, Lower Parel (E), Mumbai - 11, connect@thesouledstore.com",[],99999,0.00,freshness,[],0 months,No Warranty,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015231.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015268.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015317.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015354.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015389.jpg"
243946,child,Tss Originals: White Block,Multicolor,XS,THE93F1102122,235924,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
