notification_id,user_id,notification_type,title,message,sent_at,is_read,read_at,clicked,channel,priority
NOTIF00000001,U000001,Challenge Update,Challenge Update,You're 67% through your challenge!,2025-12-01 10:10:40,True,2025-11-07 17:10:40,True,In-App,Medium
NOTIF00000002,U000001,popCoin Expiring,popCoin Expiring,51 popCoins expiring in 3 days!,2025-11-17 11:10:40,False,2025-11-16 17:10:40,False,Push,Low
NOTIF00000003,U000001,popCoin Expiring,popCoin Expiring,127 popCoins expiring in 3 days!,2025-11-14 05:10:40,True,2025-11-11 17:10:40,False,Push,Medium
NOTIF00000004,U000001,Goal Progress,Goal Progress,Only 500 popCoins away from your goal!,2025-11-13 04:10:40,True,2025-11-29 17:10:40,False,SMS,Low
NOTIF00000005,U000001,Challenge Update,Challenge Update,You're 90% through your challenge!,2025-11-27 12:10:40,False,2025-11-07 17:10:40,True,SMS,High
NOTIF00000006,U000001,Goal Progress,Goal Progress,Only 500 popCoins away from your goal!,2025-11-13 08:10:40,False,,False,SMS,High
NOTIF00000007,U000001,popCoin Expiring,popCoin Expiring,112 popCoins expiring in 4 days!,2025-11-26 19:10:40,False,2025-12-03 17:10:40,False,Push,Medium
NOTIF00000008,U000001,Referral Reward,Referral Reward,Your friend joined! You earned 200 popCoins.,2025-11-05 06:10:40,True,2025-11-25 17:10:40,False,In-App,Low
NOTIF00000009,U000001,Cart Reminder,Cart Reminder,You left items in your cart. Complete checkout now!,2025-11-23 13:10:40,False,,False,SMS,Medium
NOTIF00000010,U000001,Referral Reward,Referral Reward,Your friend joined! You earned 200 popCoins.,2025-12-02 00:10:40,True,2025-11-30 17:10:40,False,In-App,High
NOTIF00000011,U000001,popCoin Expiring,popCoin Expiring,105 popCoins expiring in 2 days!,2025-11-12 23:10:40,True,2025-11-04 17:10:40,True,In-App,High
NOTIF00000012,U000002,Challenge Update,Challenge Update,You're 66% through your challenge!,2025-11-03 14:10:40,False,2025-11-23 17:10:40,False,SMS,High
NOTIF00000013,U000002,Cart Reminder,Cart Reminder,You left items in your cart. Complete checkout now!,2025-11-22 21:10:40,True,2025-11-26 17:10:40,False,SMS,High
NOTIF00000014,U000002,Price Drop,Price Drop,Price dropped on item in your cart!,2025-11-09 21:10:40,True,2025-11-05 17:10:40,False,Push,High
NOTIF00000015,U000002,Referral Reward,Referral Reward,Your friend joined! You earned 200 popCoins.,2025-11-06 09:10:40,False,2025-11-09 17:10:40,False,SMS,Low
