product_id,product_title,category,brand,views_last_7days,views_last_30days,add_to_cart_count,purchase_count,conversion_rate,avg_rating,num_reviews,trending_score,stock_level,last_updated
41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,128,2080,26,22,24.67,4.8,328,0.93,Medium,2025-12-03 17:10:40
134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,486,1803,66,37,22.13,3.9,329,0.64,Medium,2025-12-03 17:10:40
134472,Organic Cotton Stretch Chino In Beige- Slim Fit,Trousers,SUBTRACT,474,838,94,15,16.56,4.4,195,0.51,Medium,2025-12-03 17:10:40
243944,Men Originals White Block Collar Neck Printed T-shirts,Polos,The Souled Store,105,1956,75,24,15.01,4.2,164,0.98,High,2025-12-03 17:10:40
428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,170,1011,44,18,11.15,3.9,224,0.93,Medium,2025-12-03 17:10:40
496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,330,842,24,14,6.74,4.6,231,0.91,Low,2025-12-03 17:10:40
612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,427,2165,55,15,12.14,4.3,98,0.51,Medium,2025-12-03 17:10:40
717137,Grey Colorblocked Gym Vest For Men,Innerwear,TRIPR,387,2002,45,23,17.86,3.6,73,0.55,Low,2025-12-03 17:10:40
787062,Womens Boxy Regular Embroidery Crew Neck Tshirt,Tees,DILLINGER,363,1572,35,39,16.01,4.2,247,0.62,Low,2025-12-03 17:10:40
792468,Auto Sight Wi-fi Dash Camera - Grey,Security,Gizmore,269,947,49,19,11.75,4.3,157,0.75,Low,2025-12-03 17:10:40
818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,462,1028,18,38,15.34,4.3,224,0.76,Medium,2025-12-03 17:10:40
896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,257,988,12,27,21.93,4.6,32,0.59,High,2025-12-03 17:10:40
899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,467,2465,57,24,8.92,4.5,52,0.89,High,2025-12-03 17:10:40
899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,176,2143,13,12,19.16,3.6,322,0.86,Low,2025-12-03 17:10:40
948892,"Party Perfect Handle Beer Glasses & Mugs: Making Every Moment, Transparent, Clear, Size -13.5 X 12.5 X 9.5 Cm, Pack Of 5, Capacity - 550 Ml",Bar Necessities,Afast,267,475,40,36,7.85,4.5,338,0.93,Medium,2025-12-03 17:10:40
949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,77,396,35,15,6.25,4.5,63,0.79,Low,2025-12-03 17:10:40
949038,"Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm",Bar Necessities,Afast,473,1885,89,43,23.25,3.6,55,0.9,High,2025-12-03 17:10:40
949854,"Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm",Bar Necessities,Afast,56,685,48,35,21.27,3.8,394,0.84,Low,2025-12-03 17:10:40
949860,"Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm",Bar Necessities,Afast,100,1507,69,46,16.1,3.6,393,0.55,Low,2025-12-03 17:10:40
950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,437,1431,29,27,18.67,4.4,394,0.99,Low,2025-12-03 17:10:40
950618,"Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm",Bar Necessities,Afast,309,1038,22,42,17.96,4.7,335,0.73,Low,2025-12-03 17:10:40
