order_id,user_id,order_date,num_items,total_amount,popcoins_used,payment_method,order_status,delivery_date,items
ORD00000001,U000001,2025-10-21 17:09:09,4,6531.0,1053,UPI,Delivered,2025-12-06,"[{""product_id"": 787062, ""title"": ""Womens Boxy Regular Embroidery Crew Neck Tshirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 899608, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm"", ""quantity"": 1, ""price"": 532.0, ""popcoins_used"": 53}, {""product_id"": 792468, ""title"": ""Auto Sight Wi-fi Dash Camera - Grey"", ""quantity"": 1, ""price"": 4999.0, ""popcoins_used"": 1000}, {""product_id"": 1040453, ""title"": ""Men Anya Forger Blue Oversized Graphic T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000002,U000001,2025-11-07 17:09:09,4,2046.0,175,Net Banking,In Transit,2025-12-08,"[{""product_id"": 1053733, ""title"": ""I Love You Dad Design Mug 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 140}, {""product_id"": 41030, ""title"": ""Roasted & Lightly Salted California Pistachio - 250gm"", ""quantity"": 1, ""price"": 347.0, ""popcoins_used"": 35}, {""product_id"": 787062, ""title"": ""Womens Boxy Regular Embroidery Crew Neck Tshirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000003,U000001,2025-10-05 17:09:09,4,4773.0,327,Net Banking,In Transit,2025-12-08,"[{""product_id"": 818766, ""title"": ""Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 950618, ""title"": ""Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm"", ""quantity"": 1, ""price"": 3273.0, ""popcoins_used"": 327}, {""product_id"": 717137, ""title"": ""Grey Colorblocked Gym Vest For Men"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 818766, ""title"": ""Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000004,U000001,2025-10-10 17:09:09,1,500.0,0,Net Banking,Delivered,2025-12-07,"[{""product_id"": 243944, ""title"": ""Men Originals White Block Collar Neck Printed T-shirts"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000005,U000001,2025-11-13 17:09:09,2,1646.0,165,Net Banking,Processing,2025-12-04,"[{""product_id"": 1044302, ""title"": ""Eau De Parfum - Eclipse, 100ml"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 130}, {""product_id"": 41030, ""title"": ""Roasted & Lightly Salted California Pistachio - 250gm"", ""quantity"": 1, ""price"": 347.0, ""popcoins_used"": 35}]"
ORD00000006,U000001,2025-11-19 17:09:09,2,4448.0,445,UPI,In Transit,2025-12-07,"[{""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}, {""product_id"": 948892, ""title"": ""Party Perfect Handle Beer Glasses & Mugs: Making Every Moment, Transparent, Clear, Size -13.5 X 12.5 X 9.5 Cm, Pack Of 5, Capacity - 550 Ml"", ""quantity"": 1, ""price"": 4089.0, ""popcoins_used"": 409}]"
ORD00000007,U000001,2025-09-27 17:09:09,2,4572.0,652,Card,Delivered,2025-12-09,"[{""product_id"": 950618, ""title"": ""Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm"", ""quantity"": 1, ""price"": 3273.0, ""popcoins_used"": 327}, {""product_id"": 1053248, ""title"": ""Unisex Off White Captain America Embroidered Baseball Cap"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 325}]"
ORD00000008,U000001,2025-10-09 17:09:09,4,8343.0,1285,Card,Processing,2025-12-09,"[{""product_id"": 899607, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4"", ""quantity"": 1, ""price"": 2497.0, ""popcoins_used"": 250}, {""product_id"": 41030, ""title"": ""Roasted & Lightly Salted California Pistachio - 250gm"", ""quantity"": 1, ""price"": 347.0, ""popcoins_used"": 35}, {""product_id"": 792468, ""title"": ""Auto Sight Wi-fi Dash Camera - Grey"", ""quantity"": 1, ""price"": 4999.0, ""popcoins_used"": 1000}, {""product_id"": 243944, ""title"": ""Men Originals White Block Collar Neck Printed T-shirts"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000009,U000001,2025-10-17 17:09:09,3,5356.0,486,Net Banking,Processing,2025-12-05,"[{""product_id"": 949038, ""title"": ""Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm"", ""quantity"": 1, ""price"": 2408.0, ""popcoins_used"": 241}, {""product_id"": 818766, ""title"": ""Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}]"
ORD00000010,U000001,2025-09-07 17:09:09,2,7407.0,1241,UPI,Processing,2025-12-09,"[{""product_id"": 792468, ""title"": ""Auto Sight Wi-fi Dash Camera - Grey"", ""quantity"": 1, ""price"": 4999.0, ""popcoins_used"": 1000}, {""product_id"": 949038, ""title"": ""Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm"", ""quantity"": 1, ""price"": 2408.0, ""popcoins_used"": 241}]"
