referral_id,referrer_user_id,referred_user_id,referral_code,signup_date,first_payment_completed,first_payment_date,referrer_reward_popcoins,referred_reward_popcoins,reward_credited,reward_credit_date,status
REF00000001,U000001,U000192,REFU000001,2025-11-29,False,,0,0,False,,Pending
REF00000002,U000001,U000268,REFU000001,2025-11-20,True,2025-11-24,200,100,True,2025-11-25,Completed
REF00000003,U000001,U000114,REFU000001,2025-10-05,True,2025-10-08,200,100,True,2025-10-09,Completed
REF00000004,U000001,U000449,REFU000001,2025-10-19,True,2025-10-21,200,100,True,2025-10-22,Completed
REF00000005,U000001,U000241,REFU000001,2025-10-06,True,2025-10-09,200,100,True,2025-10-10,Completed
REF00000006,U000001,U000334,REFU000001,2025-09-04,False,,0,0,False,,Pending
REF00000007,U000001,U000234,REFU000001,2025-11-12,True,2025-11-17,200,100,True,2025-11-18,Completed
REF00000008,U000001,U000494,REFU000001,2025-09-23,False,,0,0,False,,Pending
REF00000009,U000001,U000264,REFU000001,2025-10-12,True,2025-10-19,200,100,True,2025-10-20,Completed
REF00000010,U000002,U000355,REFU000002,2025-11-21,True,2025-11-24,200,100,True,2025-11-25,Completed
REF00000011,U000002,U000415,REFU000002,2025-09-25,False,,0,0,False,,Pending
REF00000012,U000003,U000262,REFU000003,2025-10-24,True,2025-10-30,200,100,True,2025-10-31,Completed
REF00000013,U000003,U000146,REFU000003,2025-09-12,True,2025-09-15,200,100,True,2025-09-16,Completed
REF00000014,U000003,U000418,REFU000003,2025-09-30,False,,0,0,False,,Pending
REF00000015,U000004,U000487,REFU000004,2025-10-15,True,2025-10-18,200,100,True,2025-10-19,Completed
REF00000016,U000004,U000462,REFU000004,2025-10-01,True,2025-10-04,200,100,True,2025-10-05,Completed
REF00000017,U000005,U000285,REFU000005,2025-11-12,True,2025-11-15,200,100,True,2025-11-16,Completed
REF00000018,U000005,U000108,REFU000005,2025-11-18,True,2025-11-23,200,100,True,2025-11-24,Completed
REF00000019,U000005,U000258,REFU000005,2025-09-29,False,,0,0,False,,Pending
REF00000020,U000005,U000428,REFU000005,2025-09-22,True,2025-09-29,200,100,True,2025-09-30,Completed
