transaction_id,user_id,transaction_type,amount,transaction_date,payment_method,status,popcoins_earned,vendor_name,category
TXN00000001,U000001,Recharge,2992.87,2025-10-11 17:08:37,Net Banking,Completed,29,Gas Agency,Entertainment
TXN00000002,U000001,Recharge,1616.03,2025-09-09 17:08:37,Net Banking,Completed,16,Electricity Board,Fashion
TXN00000003,U000001,Bill_Payment,2009.14,2025-10-26 17:08:37,Card,Completed,30,Electricity Board,Electronics
TXN00000004,U000001,UPI_Payment,2318.51,2025-11-21 17:08:37,UPI,Pending,0,Gas Agency,Fashion
TXN00000005,U000001,Recharge,1362.74,2025-11-25 17:08:37,UPI,Failed,0,Electricity Board,Utilities
TXN00000006,U000001,Card_Payment,2219.01,2025-10-26 17:08:37,Net Banking,Completed,22,Water Board,Entertainment
TXN00000007,U000001,UPI_Payment,3355.92,2025-09-10 17:08:37,UPI,Completed,67,Flipkart,Utilities
TXN00000008,U000001,UPI_Payment,4454.08,2025-11-14 17:08:37,Card,Completed,89,Electricity Board,Entertainment
TXN00000009,U000001,Card_Payment,3602.18,2025-09-13 17:08:37,Card,Completed,36,Gas Agency,Groceries
TXN00000010,U000001,Bill_Payment,4531.42,2025-11-22 17:08:37,Net Banking,Completed,67,Mobile Operator,Utilities
TXN00000011,U000001,UPI_Payment,67.55,2025-09-13 17:08:37,Card,Completed,1,Flipkart,Groceries
TXN00000012,U000001,Recharge,3543.05,2025-11-19 17:08:37,UPI,Completed,35,Water Board,Fashion
TXN00000013,U000001,Recharge,228.34,2025-09-24 17:08:37,UPI,Completed,2,Mobile Operator,Fashion
TXN00000014,U000001,UPI_Payment,1575.88,2025-11-28 17:08:37,Card,Failed,0,Flipkart,Fashion
TXN00000015,U000001,UPI_Payment,1800.71,2025-10-12 17:08:37,Net Banking,Completed,36,Water Board,Fashion
TXN00000016,U000001,Card_Payment,4329.8,2025-11-11 17:08:37,Card,Pending,0,Amazon,Fashion
TXN00000017,U000001,Bill_Payment,3922.81,2025-09-09 17:08:37,Net Banking,Completed,58,Flipkart,Utilities
TXN00000018,U000001,Card_Payment,3947.5,2025-11-29 17:08:37,Card,Completed,39,Flipkart,Fashion
TXN00000019,U000001,Shopping,1780.81,2025-11-04 17:08:37,UPI,Completed,17,Amazon,Fashion
TXN00000020,U000001,Shopping,1674.9,2025-10-29 17:08:37,Card,Failed,0,Water Board,Entertainment
TXN00000021,U000001,Shopping,3413.61,2025-10-22 17:08:37,UPI,Completed,34,Amazon,Utilities
TXN00000022,U000001,Card_Payment,2923.92,2025-11-29 17:08:37,UPI,Pending,0,Gas Agency,Groceries
TXN00000023,U000001,Bill_Payment,3656.3,2025-09-17 17:08:37,Net Banking,Completed,54,Amazon,Groceries
TXN00000024,U000001,Recharge,990.89,2025-10-09 17:08:37,UPI,Completed,9,Gas Agency,Entertainment
TXN00000025,U000001,Card_Payment,1852.9,2025-09-09 17:08:37,Card,Completed,18,Gas Agency,Utilities
