user_id,monthly_budget_limit,current_month_spend,budget_remaining,budget_utilized_percent,alert_threshold,alert_enabled,category_spending,top_spending_category,avg_transaction_value,popcoins_saved_this_month,last_updated
U000001,5000,37663.24,-32663.24,753.26,75,True,"{""Electronics"": 2009.14, ""Entertainment"": 12331.75, ""Fashion"": 21140.63, ""Groceries"": 15929.08, ""Utilities"": 28543.33}",Utilities,2665.13,315,2025-12-03 17:10:02
U000002,8000,32153.8,-24153.8,401.92,75,True,"{""Electronics"": 23008.43, ""Entertainment"": 21313.39, ""Fashion"": 29200.2, ""Groceries"": 33185.83, ""Utilities"": 10328.02}",Groceries,2490.12,401,2025-12-03 17:10:02
U000003,5000,15101.52,-10101.52,302.03,75,True,"{""Electronics"": 9416.62, ""Entertainment"": 10782.77, ""Fashion"": 10197.32, ""Groceries"": 28592.41, ""Utilities"": 6221.08}",Groceries,2103.55,156,2025-12-03 17:10:02
U000004,15000,31582.39,-16582.39,210.55,75,True,"{""Electronics"": 13972.37, ""Entertainment"": 27713.64, ""Fashion"": 19286.66, ""Groceries"": 13259.32, ""Utilities"": 14556.019999999999}",Entertainment,2611.41,285,2025-12-03 17:10:02
U000005,8000,14209.42,-6209.42,177.62,75,True,"{""Electronics"": 22189.19, ""Entertainment"": 3490.33, ""Fashion"": 26482.3, ""Groceries"": 20056.96, ""Utilities"": 12036.970000000001}",Fashion,2478.11,170,2025-12-03 17:10:02
U000006,8000,56206.72,-48206.72,702.58,75,True,"{""Electronics"": 19757.33, ""Entertainment"": 25422.16, ""Fashion"": 16148.06, ""Groceries"": 33430.61, ""Utilities"": 20749.09}",Groceries,2686.22,653,2025-12-03 17:10:02
U000007,10000,7493.55,2506.45,74.94,75,True,"{""Electronics"": 7489.63, ""Entertainment"": 10016.5, ""Fashion"": 14660.93, ""Groceries"": 7550.91, ""Utilities"": 5481.75}",Fashion,2259.99,38,2025-12-03 17:10:02
U000008,5000,16442.24,-11442.24,328.84,75,True,"{""Electronics"": 13949.94, ""Entertainment"": 12457.51, ""Fashion"": 11883.66, ""Groceries"": 21293.82, ""Utilities"": 22774.41}",Utilities,2422.33,183,2025-12-03 17:10:02
U000009,8000,33215.71,-25215.71,415.2,75,True,"{""Electronics"": 16840.73, ""Entertainment"": 16105.810000000001, ""Fashion"": 27816.67, ""Groceries"": 15736.2, ""Utilities"": 11887.16}",Fashion,2678.38,313,2025-12-03 17:10:02
U000010,15000,7459.53,7540.47,49.73,75,True,"{""Electronics"": 6118.0, ""Entertainment"": 7939.33, ""Fashion"": 11245.169999999998, ""Groceries"": 12558.53, ""Utilities"": 7953.0}",Groceries,2181.62,73,2025-12-03 17:10:02
U000011,8000,32350.83,-24350.83,404.39,75,True,"{""Electronics"": 30211.98, ""Entertainment"": 15579.63, ""Fashion"": 16433.61, ""Groceries"": 39984.71, ""Utilities"": 22642.91}",Groceries,2714.19,357,2025-12-03 17:10:02
U000012,20000,5204.17,14795.83,26.02,75,True,"{""Electronics"": 3167.31, ""Entertainment"": 10669.64, ""Fashion"": 8391.96, ""Groceries"": 11458.1, ""Utilities"": 5621.46}",Groceries,2312.26,51,2025-12-03 17:10:02
U000013,20000,13717.6,6282.4,68.59,75,True,"{""Electronics"": 2908.26, ""Entertainment"": 4760.99, ""Fashion"": 13527.61, ""Groceries"": 16489.670000000002, ""Utilities"": 14582.77}",Groceries,3074.66,115,2025-12-03 17:10:02
U000014,5000,15566.17,-10566.17,311.32,75,True,"{""Electronics"": 19458.489999999998, ""Entertainment"": 4743.4800000000005, ""Fashion"": 2789.6099999999997, ""Groceries"": 3638.11, ""Utilities"": 6666.51}",Electronics,2072.01,185,2025-12-03 17:10:02
U000015,5000,29015.25,-24015.25,580.3,75,True,"{""Electronics"": 14565.51, ""Entertainment"": 4107.75, ""Fashion"": 16064.24, ""Groceries"": 10606.01, ""Utilities"": 32291.23}",Utilities,2218.14,309,2025-12-03 17:10:02
U000016,15000,28077.47,-13077.47,187.18,75,True,"{""Electronics"": 21655.06, ""Entertainment"": 16605.2, ""Fashion"": 11942.83, ""Groceries"": 9599.7, ""Utilities"": 17676.77}",Electronics,2979.98,166,2025-12-03 17:10:02
U000017,8000,17639.37,-9639.37,220.49,75,True,"{""Electronics"": 19251.51, ""Entertainment"": 17200.31, ""Fashion"": 15893.05, ""Groceries"": 9407.95, ""Utilities"": 1310.48}",Electronics,2522.53,195,2025-12-03 17:10:02
U000018,5000,20363.27,-15363.27,407.27,75,True,"{""Electronics"": 859.39, ""Entertainment"": 8405.18, ""Fashion"": 6564.62, ""Groceries"": 18374.66, ""Utilities"": 16236.25}",Groceries,2802.23,151,2025-12-03 17:10:02
U000019,10000,36771.83,-26771.83,367.72,75,True,"{""Electronics"": 17958.920000000002, ""Entertainment"": 6948.06, ""Fashion"": 25119.72, ""Groceries"": 19498.47, ""Utilities"": 21122.56}",Fashion,2589.94,420,2025-12-03 17:10:02
U000020,5000,27185.02,-22185.02,543.7,75,True,"{""Electronics"": 26545.04, ""Entertainment"": 22770.08, ""Fashion"": 20242.02, ""Groceries"": 9167.51, ""Utilities"": 20750.5}",Electronics,2763.2,256,2025-12-03 17:10:02
