progress_id,user_id,challenge_id,challenge_name,current_progress,target_value,progress_percentage,is_completed,popcoins_earned,started_at,completed_at,last_updated
PROG00000001,U000001,CH004,Big Spender,2457,5000,49.14,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000002,U000001,CH003,UPI Champion,0,10,0.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000003,U000001,CH001,Weekend Warrior,0,3,0.0,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000004,U000002,CH005,Bill Master,5,5,100.0,True,120,2025-12-03,2025-12-03,2025-12-03 17:09:45
PROG00000005,U000002,CH003,UPI Champion,0,10,0.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000006,U000002,CH001,Weekend Warrior,3,3,100.0,True,100,2025-12-02,2025-12-02,2025-12-03 17:09:45
PROG00000007,U000003,CH004,Big Spender,1986,5000,39.72,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000008,U000003,CH002,Streak Master,3,5,60.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000009,U000004,CH004,Big Spender,4844,5000,96.88,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000010,U000004,CH005,Bill Master,1,5,20.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000011,U000005,CH003,UPI Champion,3,10,30.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000012,U000005,CH001,Weekend Warrior,2,3,66.67,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000013,U000006,CH004,Big Spender,4799,5000,95.98,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000014,U000006,CH001,Weekend Warrior,1,3,33.33,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000015,U000007,CH004,Big Spender,2256,5000,45.12,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000016,U000007,CH002,Streak Master,2,5,40.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000017,U000008,CH001,Weekend Warrior,0,3,0.0,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000018,U000008,CH003,UPI Champion,10,10,100.0,True,150,2025-12-03,2025-11-30,2025-12-03 17:09:45
PROG00000019,U000009,CH004,Big Spender,1022,5000,20.44,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000020,U000009,CH003,UPI Champion,8,10,80.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000021,U000010,CH005,Bill Master,5,5,100.0,True,120,2025-12-03,2025-12-01,2025-12-03 17:09:45
PROG00000022,U000010,CH004,Big Spender,2229,5000,44.58,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000023,U000010,CH001,Weekend Warrior,0,3,0.0,False,0,2025-12-02,,2025-12-03 17:09:45
