user_id,total_popcoins_earned,total_popcoins_spent,current_balance,popcoins_expiring_soon,last_earned_date,last_updated
U000001,850,314,536,88,2025-11-29 17:08:37,2025-12-03 17:08:53
U000002,1357,690,667,70,2025-12-01 17:08:37,2025-12-03 17:08:53
U000003,639,269,322,75,2025-11-29 17:08:37,2025-12-03 17:08:53
U000004,980,651,329,12,2025-12-02 17:08:37,2025-12-03 17:08:53
U000005,1008,615,393,40,2025-11-24 17:08:37,2025-12-03 17:08:53
U000006,1229,553,642,74,2025-11-29 17:08:37,2025-12-03 17:08:53
U000007,436,223,201,0,2025-11-08 17:08:37,2025-12-03 17:08:53
U000008,856,374,482,65,2025-12-01 17:08:37,2025-12-03 17:08:53
U000009,1007,628,379,0,2025-12-03 17:08:37,2025-12-03 17:08:53
U000010,487,167,261,40,2025-12-02 17:08:37,2025-12-03 17:08:53
U000011,1424,489,935,85,2025-12-03 17:08:37,2025-12-03 17:08:53
U000012,371,226,145,31,2025-11-25 17:08:37,2025-12-03 17:08:53
U000013,539,214,325,0,2025-11-28 17:08:37,2025-12-03 17:08:53
U000014,453,294,159,53,2025-12-01 17:08:37,2025-12-03 17:08:53
U000015,867,427,424,59,2025-12-02 17:08:37,2025-12-03 17:08:53
U000016,826,499,327,0,2025-11-26 17:08:37,2025-12-03 17:08:53
U000017,516,342,174,0,2025-11-23 17:08:37,2025-12-03 17:08:53
U000018,462,93,369,12,2025-12-02 17:08:37,2025-12-03 17:08:53
U000019,810,424,386,52,2025-12-01 17:08:37,2025-12-03 17:08:53
U000020,978,449,529,73,2025-12-02 17:08:37,2025-12-03 17:08:53
